Id,Name,Type,Picture,Price,Recommended,Link
1,ATX ZALMAN i3 черный,Midi-Tower,https://items.s1.citilink.ru/1071135_v01_m.jpg,3710,0,https://www.citilink.ru/product/korpus-atx-zalman-i3-midi-tower-bez-bp-chernyi-1071135/
2,mATX AEROCOOL Cylon Mini черный,Mini-Tower,https://items.s1.citilink.ru/1076328_v01_m.jpg,3600,0,https://www.citilink.ru/product/korpus-matx-aerocool-cylon-mini-mini-tower-bez-bp-chernyi-1076328/
3,ATX ZALMAN S2 черный,Midi-Tower,https://items.s1.citilink.ru/1112667_v01_m.jpg,3370,0,https://www.citilink.ru/product/korpus-atx-zalman-s2-midi-tower-bez-bp-chernyi-1112667/
4,ATX ACCORD ACC-B305 черный,Midi-Tower,https://items.s1.citilink.ru/338585_v01_m.jpg,2470,0,https://www.citilink.ru/product/korpus-atx-accord-acc-b305-midi-tower-bez-bp-chernyi-338585/
5,ATX ZALMAN S3 черный,Midi-Tower,https://items.s1.citilink.ru/1112926_v01_m.jpg,2590,0,https://www.citilink.ru/product/korpus-atx-zalman-s3-midi-tower-bez-bp-chernyi-1112926/
6,ATX ACCORD SKY-01 черный,Midi-Tower,https://items.s1.citilink.ru/405924_v01_m.jpg,2230,0,https://www.citilink.ru/product/korpus-atx-accord-sky-01-midi-tower-bez-bp-chernyi-405924/
7,mATX LINKWORLD VC-13M171 черный,Micro-Tower,https://items.s1.citilink.ru/1169262_v01_m.jpg,2080,0,https://www.citilink.ru/product/korpus-matx-linkworld-vc-13m171-micro-tower-bez-bp-chernyi-1169262/
8,mATX AEROCOOL Qs-240 черный,Micro-Tower,https://items.s1.citilink.ru/338858_v01_m.jpg,3270,0,https://www.citilink.ru/product/korpus-matx-aerocool-qs-240-micro-tower-bez-bp-chernyi-338858/
9,mATX LINKWORLD VC-13M35 черный,Micro-Tower,https://items.s1.citilink.ru/437206_v01_m.jpg,2080,0,https://www.citilink.ru/product/korpus-matx-linkworld-vc-13m35-micro-tower-bez-bp-chernyi-437206/
10,ATX ZALMAN N2 черный,Midi-Tower,https://items.s1.citilink.ru/1023941_v01_m.jpg,2800,0,https://www.citilink.ru/product/korpus-atx-zalman-n2-midi-tower-bez-bp-chernyi-1023941/
11,ATX AEROCOOL Aero One Frost-G-WT-v1 белый,Midi-Tower,https://items.s1.citilink.ru/1184773_v01_m.jpg,4820,0,https://www.citilink.ru/product/korpus-atx-aerocool-aero-one-frost-g-wt-v1-midi-tower-bez-bp-belyi-1184773/
12,mATX FORMULA GM-706W белый,Mini-Tower,https://items.s1.citilink.ru/1075776_v01_m.jpg,3120,0,https://www.citilink.ru/product/korpus-matx-formula-gm-706w-mini-tower-bez-bp-belyi-1075776/
13,mATX ACCORD ACC-B022 черный,Midi-Tower,https://items.s1.citilink.ru/387596_v01_m.jpg,2330,0,https://www.citilink.ru/product/korpus-matx-accord-acc-b022-midi-tower-bez-bp-chernyi-387596/
14,ATX FORMULA CL-3302W RGB белый,Midi-Tower,https://items.s1.citilink.ru/1169766_v01_m.jpg,3970,0,https://www.citilink.ru/product/korpus-atx-formula-cl-3302w-rgb-midi-tower-bez-bp-belyi-1169766/
15,ATX AEROCOOL Menace Saturn FRGB-G-BK-v1 черный,Midi-Tower,https://items.s1.citilink.ru/1217779_v01_m.jpg,3270,0,https://www.citilink.ru/product/korpus-aerocool-menace-saturn-frgb-g-bk-v1-chernyi-bez-bp-atx-4x120mm-1217779/
16,ATX ZALMAN N5 MF черный,Midi-Tower,https://items.s1.citilink.ru/1365631_v01_m.jpg,3630,0,https://www.citilink.ru/product/korpus-zalman-n5-mf-chernyi-bez-bp-atx-3x120mm-2xusb2-0-1xusb3-0-audio-1365631/
17,ATX ACCORD ACC-B301 черный,Mini-Tower,https://items.s1.citilink.ru/338580_v01_m.jpg,2450,0,https://www.citilink.ru/product/korpus-atx-accord-acc-b301-mini-tower-bez-bp-chernyi-338580/
