Id,Name,Propeller_diameter,Tdp,Price,Recommended,Link
1,DEEPCOOL GAMMAXX 300 FURY,92 мм,130 Вт,1250,35,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-gammaxx-300-fury-92mm-ret-1161697/
2,DEEPCOOL GAMMAXX 400 BLUE BASIC,120 мм,130 Вт,1500,35,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-gammaxx-400-blue-basic-120mm-re-1161762/
3,DEEPCOOL ICE EDGE MINI FS V2.0,80 мм,100 Вт,600,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-ice-edge-mini-fs-v2-0-80mm-ret-925437/
4,DEEPCOOL GAMMA HUNTER,120 мм,95 Вт,460,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-gamma-hunter-120mm-ret-1161729/
5,AEROCOOL Verkho 2,90 мм,110 Вт,850,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-verkho-2-90mm-ret-1053598/
6,DEEPCOOL ICE BLADE 100 PWM,92 мм,100 Вт,770,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-ice-blade-100-pwm-92mm-ret-1179421/
7,DEEPCOOL GAMMAXX 200 V2,92 мм,100 Вт,1130,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-gammaxx-200-v2-92mm-ret-1180608/
8,INTEL E97379,65 Вт,без тепловых трубок,360,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-intel-e97379-bulk-582779/
9,DEEPCOOL GAMMA ARCHER PRO,120 мм,110 Вт,750,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-gamma-archer-pro-120mm-ret-765983/
10,DEEPCOOL CK-AM209 V2,80 мм,65 Вт,390,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-ck-am209-v2-80mm-ret-1179431/
11,DEEPCOOL THETA 31 PWM,100 мм,95 Вт,880,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-theta-31-pwm-100mm-ret-715899/
12,DEEPCOOL REDHAT,140 мм,250 Вт,3080,50,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-redhat-140mm-ret-898397/
13,DEEPCOOL CK-11509,92 мм,65 Вт,350,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-ck-11509-92mm-ret-918722/
14,AEROCOOL Cylon 4,120 мм,145 Вт,2470,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-cylon-4-120mm-ret-1170751/
15,DEEPCOOL THETA 20,100 мм,95 Вт,480,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-theta-20-100mm-ret-717620/
16,DEEPCOOL GAMMAXX S40,120 мм,130 Вт,1930,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-deepcool-gammaxx-s40-120mm-ret-776809/
17,AEROCOOL Core Plus,120 мм,110 Вт,890,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-aerocool-core-plus-120mm-ret-1170689/
