Id,Name,Socket,Core,Thread,Frequency,Frequency_bost,Cahe,Price,Recommended,Link
1,AMD Ryzen 5 2600,SocketAM4,6,12,3.4,3.9,16,10 990,50,https://www.citilink.ru/product/processor-amd-ryzen-5-2600-socketam4-oem-yd2600bbm6iaf-1068556/
2,AMD Ryzen 5 3600,SocketAM4,6,12,3.6,4.2,32,14 390,50,https://www.citilink.ru/product/processor-amd-ryzen-5-3600-socketam4-oem-100-000000031-1151445/
3,INTEL Core i5 10400F,LGA 1200,6,12,2.9,4.3,12,16 590,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10400f-soc-1200-cm8070104290716s-rh3d-1363358/
4,AMD Ryzen 3 3100,SocketAM4,4,8,3.6,3.9,16,10 290,0,https://www.citilink.ru/product/processor-amd-ryzen-3-3100-am4-100-000000284-3-6ghz-oem-1401509/
5,AMD Ryzen 5 3500X,SocketAM4,6,6,3.6,4.1,32,11 590,0,https://www.citilink.ru/product/processor-amd-ryzen-5-3500x-am4-100-000000158-3-6ghz-oem-1411785/
6,INTEL Core i3 10100F,LGA 1200,4,8,3.6,4.3,6,12 290,0,https://www.citilink.ru/product/processor-intel-core-i3-10100f-lga-1200-oem-cm8070104291318q-usm-1426814/
7,INTEL Core i5 9400F,LGA 1151v2,6,6,2.9,4.1,9,,0,https://www.citilink.ru/product/processor-intel-core-i5-9400f-lga-1151v2-oem-cm8068403358819s-rf6m-1118668/
8,AMD Ryzen 5 2600,SocketAM4,6,12,3.4,3.9,16,11 490,0,https://www.citilink.ru/product/processor-amd-ryzen-5-2600-socketam4-box-yd2600bbafbox-1051835/
9,INTEL Core i5 9400F,LGA 1151v2,6,6,2.9,4.1,9,,0,https://www.citilink.ru/product/processor-intel-core-i5-9400f-lga-1151v2-box-bx80684i59400f-s-rf6m-1118667/
10,INTEL Core i3 10100F,LGA 1200,4,8,3.6,4.3,6,12 990,0,https://www.citilink.ru/product/processor-intel-original-core-i3-10100f-soc-1200-bx8070110100f-s-rh8u-1419362/
11,INTEL Core i5 10400F,LGA 1200,6,12,2.9,4.3,12,16 990,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10400f-soc-1200-bx8070110400f-s-rh3d-1369041/
12,INTEL Core i3 10100,LGA 1200,4,8,3.6,4.3,6,14 790,0,https://www.citilink.ru/product/processor-intel-original-core-i3-10100-soc-1200-bx8070110100-s-rh3n-3-1369035/
13,AMD Ryzen 7 3700X,SocketAM4,8,16,3.6,4.4,32,23 990,0,https://www.citilink.ru/product/processor-amd-ryzen-7-3700x-socketam4-tray-100-000000071-1151455/
14,INTEL Pentium Gold G5420,LGA 1151v2,2,4,3.8,,4,9990,0,https://www.citilink.ru/product/processor-intel-pentium-gold-g5420-lga-1151v2-box-bx80684g5420-s-r3xa-1139043/
15,AMD Ryzen 5 3600X,SocketAM4,6,12,3.8,4.4,32,17 990,0,https://www.citilink.ru/product/processor-amd-ryzen-5-3600x-socketam4-tray-100-000000022-1151450/
16,INTEL Core i5 10400,LGA 1200,6,12,2.9,4.3,12,18 290,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10400-soc-1200-cm8070104290715s-rh3c-1363357/
17,AMD Ryzen 5 2600X,SocketAM4,6,12,3.6,4.2,16,12 190,0,https://www.citilink.ru/product/processor-amd-ryzen-5-2600x-socketam4-tray-yd260xbcm6iaf-1068340/
18,AMD Ryzen 5 3600,SocketAM4,6,12,3.6,4.2,32,16 490,0,https://www.citilink.ru/product/processor-amd-ryzen-5-3600-socketam4-box-100-100000031box-1151443/
19,INTEL Core i3 9100F,LGA 1151v2,4,4,3.6,4.2,6,11 990,0,https://www.citilink.ru/product/processor-intel-core-i3-9100f-lga-1151v2-oem-cm8068403358820s-rf6n-1197113/
20,AMD Ryzen 3 2200G,SocketAM4,4,4,3.5,3.7,4,10 290,0,https://www.citilink.ru/product/processor-amd-ryzen-3-2200g-socketam4-box-yd2200c5fbbox-1029381/
21,INTEL Pentium Gold G5420,LGA 1151v2,2,4,3.8,,4,9490,0,https://www.citilink.ru/product/processor-intel-pentium-gold-g5420-lga-1151v2-oem-cm8068403360113s-r3x-1139046/
22,INTEL Pentium Gold G6400,LGA 1200,2,4,4,,4,9290,0,https://www.citilink.ru/product/processor-intel-original-pentium-g6400-soc-1151v2-cm8070104291810s-rh3-1363344/
23,INTEL Core i7 10700F,LGA 1200,8,16,2.9,4.8,16,24 990,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10700f-soc-1200-cm8070104282329s-rh70-1400728/
24,INTEL Core i3 9100F,LGA 1151v2,4,4,3.6,4.2,6,12 790,0,https://www.citilink.ru/product/processor-intel-core-i3-9100f-lga-1151v2-box-bx80684i39100f-s-rf6n-1163682/
25,INTEL Pentium Gold G6400,LGA 1200,2,4,4,,4,9590,0,https://www.citilink.ru/product/processor-intel-original-pentium-gold-g6400-soc-1200-bx80701g6400-s-rh-1369031/
26,INTEL Core i5 10400,LGA 1200,6,12,2.9,4.3,12,18 590,0,https://www.citilink.ru/product/processor-intel-core-i5-10400-lga-1200-box-bx8070110400-s-rh78-1419365/
27,INTEL Core i5 10400,LGA 1200,6,12,2.9,4.3,12,18 590,0,https://www.citilink.ru/product/processor-intel-original-core-i5-10400-soc-1200-bx8070110400-s-rh3c-2-1369040/
28,AMD Ryzen 5 3500,SocketAM4,6,6,3.6,4.1,16,11 290,0,https://www.citilink.ru/product/processor-amd-ryzen-5-3500-socketam4-oem-100-000000050-1182289/
29,INTEL Core i3 10100,LGA 1200,4,8,3.6,4.3,6,14 290,0,https://www.citilink.ru/product/processor-intel-core-i3-10100-soc-1200-3-6ghz-iuhdg630-oem-1406471/
30,INTEL Core i5 9600KF,LGA 1151v2,6,6,3.7,4.6,9,15 890,0,https://www.citilink.ru/product/processor-intel-core-i5-9600kf-lga-1151v2-oem-cm8068403874410s-rg12-1155741/
31,AMD Ryzen 5 1600,SocketAM4,6,12,3.2,3.6,16,11 190,0,https://www.citilink.ru/product/processor-amd-ryzen-5-1600-socketam4-box-yd1600bbafbox-1187402/
32,INTEL Core i5 9400,LGA 1151v2,6,6,2.9,4.1,9,18 990,0,https://www.citilink.ru/product/processor-intel-core-i5-9400-lga-1151v2-oem-cm8068403875505s-rg0y-1181768/
33,AMD Ryzen 7 3700X,SocketAM4,8,16,3.6,4.4,32,28 790,0,https://www.citilink.ru/product/processor-amd-ryzen-7-3700x-socketam4-box-100-100000071box-1151453/
34,AMD Ryzen 5 2600X,SocketAM4,6,12,3.6,4.2,16,13 490,0,https://www.citilink.ru/product/processor-amd-ryzen-5-2600x-socketam4-box-yd260xbcafbox-1051839/
35,AMD Ryzen 9 3900X,SocketAM4,12,24,3.8,4.6,64,44 590,0,https://www.citilink.ru/product/processor-amd-ryzen-9-3900x-socketam4-box-100-100000023box-1151471/
36,INTEL Core i5 10400F,LGA 1200,6,12,2.9,4.3,12,16 590,0,https://www.citilink.ru/product/processor-intel-core-i5-10400f-lga-1200-oem-cm8070104282719s-rh79-1424064/
37,INTEL Core i3 9100F,LGA 1151v2,4,4,3.6,4.2,6,12 790,0,https://www.citilink.ru/product/processor-intel-core-i3-9100f-lga-1151v2-box-1201242/
38,INTEL Core i5 9400,LGA 1151v2,6,6,2.9,4.1,9,19 790,0,https://www.citilink.ru/product/processor-intel-core-i5-9400-lga-1151v2-box-bx80684i59400-s-r3x5-1193132/
