Id,Name,Storage,Interface,Buffer,Speed,Price,Recommended,Link
1,WD Caviar Blue WD10EZEX,1000 ГБ,SATA III,64 МБ,7200 об/мин,3190,0,https://www.citilink.ru/product/zhestkii-disk-wd-caviar-blue-wd10ezex-1tb-hdd-sata-iii-3-5-692114/
2,TOSHIBA P300 HDWD110UZSVA,1 ТБ,SATA III,64 МБ,7200 об/мин,3090,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-p300-hdwd110uzsva-1tb-hdd-sata-iii-3-5-325522/
3,SEAGATE Barracuda ST1000DM010,1 ТБ,SATA III,64 МБ,7200 об/мин,3190,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st1000dm010-1tb-hdd-sata-iii-3-5-385618/
4,SEAGATE Barracuda ST2000DM008,2 ТБ,SATA III,256 МБ,7200 об/мин,5390,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st2000dm008-2tb-hdd-sata-iii-3-5-1013006/
5,WD Blue WD20EZAZ,2 ТБ,SATA III,256 МБ,5400 об/мин,5590,0,https://www.citilink.ru/product/zhestkii-disk-wd-blue-wd20ezaz-2tb-hdd-sata-iii-3-5-1195974/
6,WD Blue WD10EZRZ,1 ТБ,SATA III,64 МБ,5400 об/мин,3290,0,https://www.citilink.ru/product/zhestkii-disk-wd-blue-wd10ezrz-1tb-hdd-sata-iii-3-5-318868/
7,WD Blue WD10SPZX,1 ТБ,SATA III,128 МБ,5400 об/мин,3590,0,https://www.citilink.ru/product/zhestkii-disk-wd-blue-wd10spzx-1tb-hdd-sata-iii-2-5-488518/
8,WD Purple WD20PURZ,2 ТБ,SATA III,64 МБ,5400 об/мин,8990,0,https://www.citilink.ru/product/zhestkii-disk-wd-purple-wd20purz-2tb-hdd-sata-iii-3-5-475847/
9,WD Purple WD10PURZ,1 ТБ,SATA III,64 МБ,5400 об/мин,4790,0,https://www.citilink.ru/product/zhestkii-disk-wd-purple-wd10purz-1tb-hdd-sata-iii-3-5-475812/
10,WD Black WD10SPSX,1 ТБ,SATA III,64 МБ,7200 об/мин,4890,0,https://www.citilink.ru/product/zhestkii-disk-wd-black-wd10spsx-1tb-hdd-sata-iii-2-5-1207267/
11,SEAGATE Skyhawk ST2000VX008,2 ТБ,SATA III,64 МБ,5900 об/мин,7890,0,https://www.citilink.ru/product/zhestkii-disk-seagate-skyhawk-st2000vx008-2tb-hdd-sata-iii-3-5-385625/
12,SEAGATE Barracuda ST4000DM004,4 ТБ,SATA III,256 МБ,5400 об/мин,13 990,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st4000dm004-4tb-hdd-sata-iii-3-5-473944/
13,WD Purple WD40PURZ,4 ТБ,SATA III,64 МБ,5400 об/мин,15 490,0,https://www.citilink.ru/product/zhestkii-disk-wd-purple-wd40purz-4tb-hdd-sata-iii-3-5-475849/
14,TOSHIBA P300 HDWD110EZSTA,1 ТБ,SATA III,64 МБ,7200 об/мин,3290,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-p300-hdwd110ezsta-1tb-hdd-sata-iii-3-5-rtl-371751/
15,TOSHIBA P300 HDWD120UZSVA,2 ТБ,SATA III,64 МБ,7200 об/мин,5390,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-p300-hdwd120uzsva-2tb-hdd-sata-iii-3-5-325523/
16,WD Blue WD5000LPCX,500 ГБ,SATA III,16 МБ,5400 об/мин,2990,0,https://www.citilink.ru/product/zhestkii-disk-wd-blue-wd5000lpcx-500gb-hdd-sata-iii-2-5-334430/
17,SEAGATE Skyhawk ST1000VX005,1 ТБ,SATA III,64 МБ,5900 об/мин,4490,0,https://www.citilink.ru/product/zhestkii-disk-seagate-skyhawk-st1000vx005-1tb-hdd-sata-iii-3-5-385623/
18,TOSHIBA L200 Slim HDWL110UZSVA,1 ТБ,SATA III,128 МБ,5400 об/мин,3290,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-l200-slim-hdwl110uzsva-1tb-hdd-sata-iii-2-5-1064624/
19,SEAGATE Barracuda ST1000LM048,1 ТБ,SATA III,128 МБ,5400 об/мин,3490,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st1000lm048-1tb-hdd-sata-iii-2-5-385614/
20,WD Black WD5000LPSX,500 ГБ,SATA III,64 МБ,7200 об/мин,3390,0,https://www.citilink.ru/product/zhestkii-disk-wd-original-sata-iii-500gb-wd5000lpsx-black-7200rpm-64mb-1397275/
21,SEAGATE Barracuda Pro ST1000LM049,1 ТБ,SATA III,128 МБ,7200 об/мин,4390,0,https://www.citilink.ru/product/zhestkii-disk-seagate-barracuda-st1000lm049-1tb-hdd-sata-iii-2-5-1031726/
22,TOSHIBA P300 HDWD120EZSTA,2 ТБ,SATA III,64 МБ,7200 об/мин,5890,0,https://www.citilink.ru/product/zhestkii-disk-toshiba-p300-hdwd120ezsta-2tb-hdd-sata-iii-3-5-rtl-371752/
