Id,Name,Socket,Chipset,Price,Recommended,Link
1,ASROCK A320M-DVS R4.0,SocketAM4,AMD A320,3790,35,https://www.citilink.ru/product/materinskaya-plata-asrock-a320m-dvs-r4-0-socketam4-amd-a320-matx-ret-1120710/
2,ASROCK B450M PRO4,SocketAM4,AMD B450,6140,50,https://www.citilink.ru/product/materinskaya-plata-asrock-b450m-pro4-socketam4-amd-b450-matx-ret-1080832/
3,ASROCK B450M PRO4-F,SocketAM4,AMD B450,5590,50,https://www.citilink.ru/product/materinskaya-plata-asrock-b450m-pro4-f-socketam4-amd-b450-matx-ret-1138649/
4,ASUS PRIME H310M-R R2.0,LGA 1151v2,Intel H310,4090,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h310m-r-r2-0-lga-1151v2-intel-h310-matx-1107791/
5,GIGABYTE B450M H,SocketAM4,AMD B450,4920,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450m-h-socketam4-amd-b450-matx-ret-1362027/
6,ASROCK B450M-HDV R4.0,SocketAM4,AMD B450,4760,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b450m-hdv-r4-0-socketam4-amd-b450-matx-ret-1135186/
7,ASROCK B450 PRO4,SocketAM4,AMD B450,6740,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b450-pro4-socketam4-amd-b450-atx-ret-1080829/
8,ASUS PRIME A320M-K,SocketAM4,AMD A320,3990,0,https://www.citilink.ru/product/materinskaya-plata-asus-prime-a320m-k-socketam4-amd-a320-matx-ret-472728/
9,GIGABYTE B450 AORUS ELITE,SocketAM4,AMD B450,7590,0,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450-aorus-elite-socketam4-amd-b450-atx-re-1087918/
10,ASROCK B460M-HDV,LGA 1200,Intel B460,6790,0,https://www.citilink.ru/product/materinskaya-plata-asrock-b460m-hdv-soc-1200-intel-b460-2xddr4-matx-ac-1391283/
