Id,Name,Power,Price,Recommended,Link
1,AEROCOOL VX PLUS 500W,500 Вт,2180,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-500w-500vt-120mm-chernyi-retail-vx-500-1049256/
2,AEROCOOL VX PLUS 600W,600 Вт,2530,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-600w-600vt-120mm-chernyi-retail-vx-600-1049258/
3,AEROCOOL VX PLUS 650W,650 Вт,3110,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-650w-650vt-120mm-chernyi-retail-vx-650-1049259/
4,AEROCOOL VX PLUS 550W,550 Вт,2380,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-550w-550vt-120mm-chernyi-retail-vx-550-1049257/
5,AEROCOOL VX PLUS,350 Вт,1430,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-350vt-120mm-chernyi-retail-vx-350-plus-1049253/
6,AEROCOOL KCAS PLUS 700,700 Вт,4460,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-kcas-plus-700-700vt-120mm-chernyi-retail-kcas-7-1049265/
7,AEROCOOL VX PLUS 450W,450 Вт,2030,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-450w-450vt-120mm-chernyi-retail-vx-450-1049255/
8,AEROCOOL VX PLUS 750W,750 Вт,3520,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-750w-750vt-120mm-chernyi-retail-vx-750-1049261/
9,ACCORD ACC-350W-12,350 Вт,1180,0,https://www.citilink.ru/product/blok-pitaniya-accord-acc-350w-12-350vt-120mm-acc-350-12-877950/
10,AEROCOOL VX PLUS 400W,400 Вт,1930,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-400w-400vt-120mm-chernyi-retail-vx-400-1049254/
11,ACCORD ACC-450W-12,450 Вт,1590,0,https://www.citilink.ru/product/blok-pitaniya-accord-acc-450w-12-450vt-120mm-acc-450-12-877952/
12,AEROCOOL VX PLUS 700W,700 Вт,3270,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-700w-700vt-120mm-chernyi-retail-vx-700-1049260/
13,AEROCOOL KCAS PLUS 800,800 Вт,6590,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-kcas-plus-800-800vt-120mm-chernyi-retail-kcas-8-1049270/
14,AEROCOOL KCAS PLUS 600,600 Вт,4160,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-kcas-plus-600-600vt-120mm-chernyi-retail-kcas-6-1049264/
15,AEROCOOL KCAS PLUS 500,500 Вт,3570,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-kcas-plus-500-500vt-120mm-chernyi-retail-kcas-5-1049262/
16,THERMALTAKE LT-650P,650 Вт,3820,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-lt-650p-650vt-120mm-chernyi-retail-ltp-0650p-305161/
17,ACCORD ACC-400W-12,400 Вт,1400,0,https://www.citilink.ru/product/blok-pitaniya-accord-acc-400w-12-400vt-120mm-acc-400-12-877951/
18,THERMALTAKE TR2 S,650 Вт,4510,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-tr2-s-650vt-120mm-chernyi-retail-ps-trs-0650-365400/
19,AEROCOOL ECO-500,500 Вт,1980,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-eco-500-500vt-120mm-seryi-retail-1170085/
20,THERMALTAKE TR2 S,700 Вт,4820,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-tr2-s-700vt-120mm-chernyi-retail-ps-trs-0700-365401/
21,ACCORD ACC-500W-NP,500 Вт,2230,0,https://www.citilink.ru/product/blok-pitaniya-accord-acc-500w-np-500vt-120mm-acc-500-np-1208698/
22,THERMALTAKE LT-550P,550 Вт,3420,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-lt-550p-550vt-120mm-chernyi-retail-lt-0550p-365375/
23,AEROCOOL ECO-400,400 Вт,1580,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-eco-400-400vt-120mm-retail-1127630/
24,THERMALTAKE Smart RGB 700,700 Вт,4900,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-smart-rgb-700-700vt-120mm-chernyi-retail-ps-482448/
25,AEROCOOL CYLON 500,500 Вт,3270,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-cylon-500-500vt-120mm-chernyi-retail-1111163/
26,THERMALTAKE TR2 S,600 Вт,4320,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-tr2-s-600vt-120mm-chernyi-retail-ps-trs-0600-365399/
27,THERMALTAKE TR2 S,500 Вт,3820,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-tr2-s-500vt-120mm-chernyi-retail-ps-trs-0500-365392/
28,GIGABYTE GP-P750GM,750 Вт,8990,0,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-750w-gp-p750gm-80-gold-24-4-4pin-apfc-120mm-1422411/
29,THERMALTAKE Smart RGB 500,500 Вт,4020,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-smart-rgb-500-500vt-120mm-chernyi-retail-ps-480509/
30,FSP ATX-450PNR-I,450 Вт,2520,0,https://www.citilink.ru/product/blok-pitaniya-fsp-atx-450pnr-i-450vt-120mm-316637/
31,AEROCOOL AERO WHITE,650 Вт,4160,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-white-650vt-120mm-chernyi-retail-aero-whit-1207080/
32,AEROCOOL ECO-550,550 Вт,2230,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-eco-550-550vt-120mm-retail-1184523/
33,THERMALTAKE Smart RGB 600,600 Вт,4580,0,https://www.citilink.ru/product/blok-pitaniya-thermaltake-smart-rgb-600-600vt-120mm-chernyi-retail-ps-482447/
34,AEROCOOL AERO BRONZE,650 Вт,4690,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-bronze-650vt-120mm-chernyi-retail-aero-bro-1207085/
35,AEROCOOL CYLON 600,600 Вт,3670,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-cylon-600-600vt-120mm-chernyi-retail-1111164/
36,ACCORD ACC-500W-12,500 Вт,2300,0,https://www.citilink.ru/product/blok-pitaniya-accord-acc-500w-12-500vt-120mm-acc-500-12-877954/
37,AEROCOOL CYLON 700,700 Вт,4160,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-cylon-700-700vt-120mm-chernyi-retail-1111165/
38,AEROCOOL ECO-450,450 Вт,1780,0,https://www.citilink.ru/product/blok-pitaniya-aerocool-eco-450-450vt-120mm-seryi-retail-1144283/
