Id,Name,Latency,Price,Recommended,Link
1,PATRIOT Signature PSD48G266681,CL19,3490,0,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd48g266681-ddr4-8gb-2666-dimm-ret-1083963/
2,CRUCIAL CT8G4DFRA266 DDR4,CL19,3890,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-crucial-ct8g4dfra266-rtl-pc4-21300-cl19-dimm-2-1398130/
3,KINGMAX DDR4 -,CL16,3690,0,https://www.citilink.ru/product/modul-pamyati-kingmax-ddr4-8gb-2400-dimm-ret-1030633/
4,KINGSTON VALUERAM KVR26N19S8/8,CL19,3390,0,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26n19s8-8-ddr4-8gb-2666-dimm-ret-1107375/
5,AMD Radeon R7,CL16,3990,0,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r744g2606u1s-uo-ddr4-4g-1085014/
6,CRUCIAL CT4G4DFS824A DDR4,CL17,1990,0,https://www.citilink.ru/product/modul-pamyati-crucial-ct4g4dfs824a-ddr4-4gb-2400-dimm-ret-395780/
7,CORSAIR Vengeance LPX,CL16,2190,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk16gx4m1d3000c16-ddr4-16gb-3000-1052596/
8,CRUCIAL CT8G4DFS824A DDR4,CL17,9390,0,https://www.citilink.ru/product/modul-pamyati-crucial-ct8g4dfs824a-ddr4-8gb-2400-dimm-ret-419981/
9,CORSAIR Vengeance LPX,CL16,3490,0,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk8gx4m1a2666c16-ddr4-8gb-2666-di-330655/
10,KINGSTON HyperX FURY,CL16,4090,0,https://www.citilink.ru/product/modul-pamyati-kingston-hyperx-fury-black-hx432c16fb3-8-ddr4-8gb-3200-d-1106230/
11,AMD Radeon R7,CL16,4390,0,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r744g2400u1s-uo-ddr4-4g-1007256/
12,AMD Radeon R7,CL16,1990,0,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r748g2400u2s-uo-ddr4-8g-1007258/
13,KINGSTON VALUERAM KVR24N17S8/8,CL17,3390,0,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr24n17s8-8-ddr4-8gb-2400-dimm-ret-396835/
14,KINGMAX KM-LD4-2666-8GS DDR4,CL19,3890,0,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-kingmax-km-ld4-2666-8gs-rtl-pc4-21300-cl19-dim-1411857/
