Id,Name,Interface,Speed,Price,Recommended,Link
1,KINGSTON A400 SA400S37/240G 240ГБ,SATA III,500,2890,0,https://www.citilink.ru/product/ssd-nakopitel-kingston-a400-sa400s37-240g-240gb-2-5-sata-iii-420251/
2,WD Green WDS240G2G0A 240ГБ,SATA III,545,3290,0,https://www.citilink.ru/product/ssd-nakopitel-wd-green-wds240g2g0a-240gb-2-5-sata-iii-1014931/
3,CRUCIAL BX500 CT240BX500SSD1 240ГБ,SATA III,540,,0,https://www.citilink.ru/product/ssd-nakopitel-crucial-bx500-ct240bx500ssd1-240gb-2-5-sata-iii-1084929/
4,SAMSUNG 870 EVO MZ-77E500BW 500ГБ,SATA III,560,5990,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-870-evo-mz-77e500bw-500gb-2-5-sata-iii-1469104/
5,A-DATA Ultimate SU650 ASU650SS-120GT-R 120ГБ,SATA III,520,1990,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-ultimate-su650-asu650ss-120gt-r-120gb-2-5-sata-ii-1087966/
6,SAMSUNG 970 EVO Plus MZ-V7S250BW 250ГБ,PCI-E x4,3500,5090,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-970-evo-plus-mz-v7s250bw-250gb-m-2-2280-pci-e-x4-1128416/
7,A-DATA Ultimate SU650 ASU650SS-240GT-R 240ГБ,SATA III,520,,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-ultimate-su650-asu650ss-240gt-r-240gb-2-5-sata-ii-1091578/
8,WD Blue WDS250G2B0A 250ГБ,SATA III,550,,0,https://www.citilink.ru/product/ssd-nakopitel-wd-blue-wds250g2b0a-250gb-2-5-sata-iii-1015926/
9,CRUCIAL BX500 CT120BX500SSD1 120ГБ,SATA III,540,1990,0,https://www.citilink.ru/product/ssd-nakopitel-crucial-bx500-ct120bx500ssd1-120gb-2-5-sata-iii-1084927/
10,KINGSTON A400 SA400S37/120G 120ГБ,SATA III,500,2290,0,https://www.citilink.ru/product/ssd-nakopitel-kingston-a400-sa400s37-120g-120gb-2-5-sata-iii-420250/
11,WD Blue WDS500G2B0A 500ГБ,SATA III,560,,0,https://www.citilink.ru/product/ssd-nakopitel-wd-blue-wds500g2b0a-500gb-2-5-sata-iii-1015927/
12,KINGSTON A400 SA400S37/480G 480ГБ,SATA III,500,4790,0,https://www.citilink.ru/product/ssd-nakopitel-kingston-a400-sa400s37-480g-480gb-2-5-sata-iii-420253/
13,WD Green WDS120G2G0A 120ГБ,SATA III,545,2290,0,https://www.citilink.ru/product/ssd-nakopitel-wd-green-wds120g2g0a-120gb-2-5-sata-iii-1014949/
14,AMD Radeon R5 R5SL120G 120ГБ,SATA III,544,1890,0,https://www.citilink.ru/product/ssd-nakopitel-amd-radeon-r5-r5sl120g-120gb-2-5-sata-iii-1000108/
15,SILICON POWER Ace A55 SP128GBSS3A55S25 128ГБ,SATA III,550,1990,0,https://www.citilink.ru/product/ssd-nakopitel-silicon-power-ace-a55-sp128gbss3a55s25-128gb-2-5-sata-ii-1035507/
16,A-DATA Ultimate SU630 ASU630SS-240GQ-R 240ГБ,SATA III,520,2690,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-ultimate-su630-asu630ss-240gq-r-240gb-2-5-sata-ii-1147699/
17,PATRIOT Burst PBU120GS25SSDR 120ГБ,SATA III,560,1990,0,https://www.citilink.ru/product/ssd-nakopitel-patriot-burst-pbu120gs25ssdr-120gb-2-5-sata-iii-1054535/
18,SAMSUNG 870 QVO MZ-77Q1T0BW 1ТБ,SATA III,560,9390,0,https://www.citilink.ru/product/nakopitel-ssd-samsung-sata-iii-1tb-mz-77q1t0bw-860-qvo-2-5-1399299/
19,WD Green WDS240G2G0B 240ГБ,SATA III,540,,0,https://www.citilink.ru/product/ssd-nakopitel-wd-green-wds240g2g0b-240gb-m-2-2280-sata-iii-1029726/
20,CRUCIAL BX500 CT480BX500SSD1 480ГБ,SATA III,540,4490,0,https://www.citilink.ru/product/ssd-nakopitel-crucial-bx500-ct480bx500ssd1-480gb-2-5-sata-iii-1084930/
21,A-DATA XPG SX6000 Lite ASX6000LNP-128GT-C 128ГБ,PCI-E x4,1800,2190,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-xpg-sx6000-lite-asx6000lnp-128gt-c-128gb-m-2-2280-1158093/
22,WD Green WDS480G2G0A 480ГБ,SATA III,545,4590,0,https://www.citilink.ru/product/ssd-nakopitel-wd-green-wds480g2g0a-480gb-2-5-sata-iii-1105702/
23,SAMSUNG 870 EVO MZ-77E250BW 250ГБ,SATA III,560,4490,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-870-evo-mz-77e250bw-250gb-2-5-sata-iii-1469100/
24,AMD Radeon R5M120G8 120ГБ,SATA III,530,1890,0,https://www.citilink.ru/product/ssd-nakopitel-amd-radeon-r5m120g8-120gb-m-2-2280-sata-iii-1180814/
25,A-DATA Ultimate SU655 ASU655SS-240GT-C 240ГБ,SATA III,520,2990,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-ultimate-su655-asu655ss-240gt-c-240gb-2-5-sata-ii-1054335/
26,PATRIOT P210 P210S256G25 256ГБ,SATA III,500,2990,0,https://www.citilink.ru/product/ssd-nakopitel-patriot-p210-p210s256g25-256gb-2-5-sata-iii-1393757/
27,A-DATA SU800 ASU800SS-256GT-C 256ГБ,SATA III,560,3390,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-su800-asu800ss-256gt-c-256gb-2-5-sata-iii-404455/
28,KINGSTON A400 SA400M8/240G 240ГБ,SATA III,500,,0,https://www.citilink.ru/product/ssd-nakopitel-kingston-a400-sa400m8-240g-240gb-m-2-2280-sata-iii-1130847/
29,PATRIOT Burst PBU240GS25SSDR 240ГБ,SATA III,555,2990,0,https://www.citilink.ru/product/ssd-nakopitel-patriot-burst-pbu240gs25ssdr-240gb-2-5-sata-iii-1054538/
30,WD Blue WDS500G2B0B 500ГБ,SATA III,560,5190,0,https://www.citilink.ru/product/ssd-nakopitel-wd-blue-wds500g2b0b-500gb-m-2-2280-sata-iii-1015925/
31,PATRIOT Burst Elite PBE120GS25SSDR 120ГБ,SATA III,450,1890,0,https://www.citilink.ru/product/ssd-nakopitel-patriot-burst-elite-pbe120gs25ssdr-120gb-2-5-sata-iii-1466270/
32,WD Blue SN550 WDS500G2B0C 500ГБ,PCI-E x4,2400,7490,0,https://www.citilink.ru/product/ssd-nakopitel-wd-blue-sn550-wds500g2b0c-500gb-m-2-2280-pci-e-x4-nvme-1182345/
33,PATRIOT P210 P210S128G25 128ГБ,SATA III,450,1990,0,https://www.citilink.ru/product/ssd-nakopitel-patriot-p210-p210s128g25-128gb-2-5-sata-iii-1393755/
34,WD Green WDS120G2G0B 120ГБ,SATA III,540,,0,https://www.citilink.ru/product/ssd-nakopitel-wd-green-wds120g2g0b-120gb-m-2-2280-sata-iii-1029723/
35,KINGSTON A2000 SA2000M8/250G 250ГБ,PCI-E x4,2000,3690,0,https://www.citilink.ru/product/nakopitel-ssd-kingston-nvme-250gb-sa2000m8-250g-a2000-m-2-2280-1387306/
36,WD Black WDS500G3X0C 500ГБ,PCI-E x4,3430,9290,0,https://www.citilink.ru/product/ssd-nakopitel-wd-black-wds500g3x0c-500gb-m-2-2280-pci-e-x4-nvme-1134600/
37,WD Blue WDS250G2B0B 250ГБ,SATA III,550,3590,0,https://www.citilink.ru/product/ssd-nakopitel-wd-blue-wds250g2b0b-250gb-m-2-2280-sata-iii-1015924/
38,WD Blue WDS100T2B0A 1ТБ,SATA III,560,9990,0,https://www.citilink.ru/product/ssd-nakopitel-wd-blue-wds100t2b0a-1tb-2-5-sata-iii-1015913/
39,KINGSTON A2000 SA2000M8/500G 500ГБ,PCI-E x4,2200,6990,0,https://www.citilink.ru/product/nakopitel-ssd-kingston-nvme-500gb-sa2000m8-500g-a2000-m-2-2280-1387309/
40,A-DATA XPG SX6000 Lite ASX6000LNP-256GT-C 256ГБ,PCI-E x4,1800,3290,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-xpg-sx6000-lite-asx6000lnp-256gt-c-256gb-m-2-2280-1146560/
41,A-DATA XPG SX8200 Pro ASX8200PNP-512GT-C 512ГБ,PCI-E x4,3500,7490,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-xpg-sx8200-pro-asx8200pnp-512gt-c-512gb-m-2-2280-1106904/
42,KINGSTON A400-R KC-S44256-6F 256ГБ,SATA III,500,,0,https://www.citilink.ru/product/ssd-nakopitel-kingston-a400-r-kc-s44256-6f-256gb-2-5-sata-iii-1113172/
43,A-DATA Ultimate SU655 ASU655SS-120GT-C 120ГБ,SATA III,520,1990,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-ultimate-su655-asu655ss-120gt-c-120gb-2-5-sata-ii-1054331/
44,SAMSUNG 870 EVO MZ-77E1T0BW 1ТБ,SATA III,560,11 490,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-870-evo-mz-77e1t0bw-1tb-2-5-sata-iii-1469106/
45,TRANSCEND TS120GSSD220S 120ГБ,SATA III,550,1990,0,https://www.citilink.ru/product/ssd-nakopitel-transcend-ts120gssd220s-120gb-2-5-sata-iii-379625/
46,SAMSUNG 860 EVO MZ-N6E250BW 250ГБ,SATA III,550,4290,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-860-evo-mz-n6e250bw-250gb-m-2-2280-sata-iii-1035093/
47,A-DATA Ultimate SU650 ASU650SS-480GT-R 480ГБ,SATA III,520,4550,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-ultimate-su650-asu650ss-480gt-r-480gb-2-5-sata-ii-1103704/
48,KINGSTON A400-R KC-S44128-6F 128ГБ,SATA III,500,2190,0,https://www.citilink.ru/product/ssd-nakopitel-kingston-a400-r-kc-s44128-6f-128gb-2-5-sata-iii-1113171/
49,A-DATA Swordfish ASWORDFISH-250G-C 250ГБ,PCI-E x4,1800,3290,0,https://www.citilink.ru/product/nakopitel-ssd-a-data-pci-e-x4-250gb-aswordfish-250g-c-wordfish-m-2-228-1390291/
50,SAMSUNG 860 EVO MZ-N6E500BW 500ГБ,SATA III,550,6390,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-860-evo-mz-n6e500bw-500gb-m-2-2280-sata-iii-1035094/
51,WD Black WDS250G3X0C 250ГБ,PCI-E x4,3100,4890,0,https://www.citilink.ru/product/ssd-nakopitel-wd-black-wds250g3x0c-250gb-m-2-2280-pci-e-x4-nvme-1134597/
52,TRANSCEND TS256GSSD230S 256ГБ,SATA III,560,,0,https://www.citilink.ru/product/ssd-nakopitel-transcend-ts256gssd230s-256gb-2-5-sata-iii-431115/
53,A-DATA XPG SX6000 Pro ASX6000PNP-256GT-C 256ГБ,PCI-E x4,2100,,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-xpg-sx6000-pro-asx6000pnp-256gt-c-256gb-m-2-2280-1096669/
54,KINGSTON KC600 SKC600/256G 256ГБ,SATA III,550,3890,0,https://www.citilink.ru/product/nakopitel-ssd-kingston-sata-iii-256gb-skc600-256g-kc600-2-5-1387327/
55,A-DATA XPG SX6000 Pro ASX6000PNP-512GT-C 512ГБ,PCI-E x4,2100,7290,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-xpg-sx6000-pro-asx6000pnp-512gt-c-512gb-m-2-2280-1106906/
56,A-DATA Ultimate SU630 ASU630SS-480GQ-R 480ГБ,SATA III,520,4290,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-ultimate-su630-asu630ss-480gq-r-480gb-2-5-sata-ii-1155911/
57,AMD Radeon R5M240G8 240ГБ,SATA III,560,2990,0,https://www.citilink.ru/product/ssd-nakopitel-amd-radeon-r5m240g8-240gb-m-2-2280-sata-iii-1180844/
58,AMD Radeon R5 R5SL480G 480ГБ,SATA III,560,5190,0,https://www.citilink.ru/product/ssd-nakopitel-amd-radeon-r5-r5sl480g-480gb-2-5-sata-iii-1060573/
59,A-DATA GAMMIX S5 AGAMMIXS5-512GT-C 512ГБ,PCI-E x4,2100,7290,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-gammix-s5-agammixs5-512gt-c-512gb-m-2-2280-pci-e-1121166/
60,AMD Radeon R5MP240G8 240ГБ,PCI-E,2100,3490,0,https://www.citilink.ru/product/ssd-nakopitel-amd-radeon-r5mp240g8-240gb-m-2-2280-pci-e-1180853/
61,A-DATA XPG SX8200 Pro ASX8200PNP-256GT-C 256ГБ,PCI-E x4,3500,3890,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-xpg-sx8200-pro-asx8200pnp-256gt-c-256gb-m-2-2280-1106900/
62,A-DATA S11 Pro AGAMMIXS11P-512GT-C 512ГБ,PCI-E x4,3500,7990,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-s11-pro-agammixs11p-512gt-c-512gb-m-2-2280-pci-e-1121172/
63,TRANSCEND TS240GSSD220S 240ГБ,SATA III,550,,0,https://www.citilink.ru/product/ssd-nakopitel-transcend-ts240gssd220s-240gb-2-5-sata-iii-379636/
64,PATRIOT P300 P300P256GM28 256ГБ,PCI-E x4,1700,3090,0,https://www.citilink.ru/product/ssd-nakopitel-patriot-p300-p300p256gm28-256gb-m-2-2280-pci-e-x4-nvme-1215617/
65,A-DATA SU800 ASU800SS-512GT-C 512ГБ,SATA III,560,5690,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-su800-asu800ss-512gt-c-512gb-2-5-sata-iii-412055/
66,WD Blue SN550 WDS250G2B0C 250ГБ,PCI-E x4,2400,3690,0,https://www.citilink.ru/product/ssd-nakopitel-wd-blue-sn550-wds250g2b0c-250gb-m-2-2280-pci-e-x4-nvme-1182344/
67,PATRIOT Burst Elite PBE240GS25SSDR 240ГБ,SATA III,450,2890,0,https://www.citilink.ru/product/ssd-nakopitel-patriot-burst-elite-pbe240gs25ssdr-240gb-2-5-sata-iii-1471159/
68,KINGSTON A400 SA400M8/120G 120ГБ,SATA III,500,,0,https://www.citilink.ru/product/ssd-nakopitel-kingston-a400-sa400m8-120g-120gb-m-2-2280-sata-iii-1130845/
69,A-DATA S11 Pro AGAMMIXS11P-256GT-C 256ГБ,PCI-E x4,3500,3990,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-s11-pro-agammixs11p-256gt-c-256gb-m-2-2280-pci-e-1126975/
70,A-DATA GAMMIX S5 AGAMMIXS5-256GT-C 256ГБ,PCI-E x4,2100,3790,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-gammix-s5-agammixs5-256gt-c-256gb-m-2-2280-pci-e-1121163/
71,SAMSUNG 860 Pro MZ-76P256BW 256ГБ,SATA III,560,6990,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-860-pro-mz-76p256bw-256gb-2-5-sata-iii-1035020/
72,AMD Radeon R5MP120G8 120ГБ,PCI-E x4,1800,2290,0,https://www.citilink.ru/product/ssd-nakopitel-amd-radeon-r5mp120g8-120gb-m-2-2280-pci-e-1180850/
73,CRUCIAL MX500 CT250MX500SSD1 250ГБ,SATA III,560,3690,0,https://www.citilink.ru/product/ssd-nakopitel-crucial-mx500-ct250mx500ssd1n-250gb-2-5-sata-iii-1076524/
74,SAMSUNG 970 PRO MZ-V7P512BW 512ГБ,PCI-E x4,3500,13 990,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-970-pro-mz-v7p512bw-512gb-m-2-2280-pci-e-x4-nvme-1072315/
75,KINGSTON KC600 SKC600/512G 512ГБ,SATA III,550,6690,0,https://www.citilink.ru/product/nakopitel-ssd-kingston-sata-iii-512gb-skc600-512g-kc600-2-5-1387330/
76,PATRIOT P210 P210S512G25 512ГБ,SATA III,520,5190,0,https://www.citilink.ru/product/ssd-nakopitel-patriot-p210-p210s512g25-512gb-2-5-sata-iii-1393759/
77,TRANSCEND TS128GSSD230S 128ГБ,SATA III,560,,0,https://www.citilink.ru/product/ssd-nakopitel-transcend-ts128gssd230s-128gb-2-5-sata-iii-412039/
78,TRANSCEND TS256GMTE110S 256ГБ,PCI-E x4,1600,3250,0,https://www.citilink.ru/product/ssd-nakopitel-transcend-ts256gmte110s-256gb-m-2-2280-pci-e-x4-nvme-1160582/
79,TRANSCEND TS240GMTS820S 240ГБ,SATA III,500,,0,https://www.citilink.ru/product/ssd-nakopitel-transcend-ts240gmts820s-240gb-m-2-2280-sata-iii-1067676/
80,KINGSTON A400 SA400M8/480G 480ГБ,SATA III,500,4890,0,https://www.citilink.ru/product/nakopitel-ssd-kingston-sata-iii-480gb-sa400m8-480g-a400-m-2-2280-1387297/
81,WD Green WDS480G2G0B 480ГБ,SATA III,545,4590,0,https://www.citilink.ru/product/ssd-nakopitel-wd-green-wds480g2g0b-480gb-m-2-2280-sata-iii-1105703/
82,WD Blue WDS500G2B0A 500ГБ,SATA III,560,5190,0,https://www.citilink.ru/product/ssd-nakopitel-wd-blue-wds500g2b0a-500gb-2-5-sata-iii-1091767/
83,WD Blue WDS100T2B0B 1ТБ,SATA III,560,9990,0,https://www.citilink.ru/product/ssd-nakopitel-wd-blue-wds100t2b0b-1tb-m-2-2280-sata-iii-1015921/
84,A-DATA XPG SX6000 Lite ASX6000LNP-512GT-C 512ГБ,PCI-E x4,1800,7290,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-xpg-sx6000-lite-asx6000lnp-512gt-c-512gb-m-2-2280-1158094/
85,SAMSUNG 860 Pro MZ-76P512BW 512ГБ,SATA III,560,11 990,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-860-pro-mz-76p512bw-512gb-2-5-sata-iii-1035043/
86,SAMSUNG 980 PRO MZ-V8P250BW 250ГБ,PCI-E x4,6400,8990,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-980-pro-mz-v8p250bw-250gb-m-2-2280-pci-e-x4-1428244/
87,SAMSUNG 860 EVO MZ-N6E1T0BW 1ТБ,SATA III,550,12 990,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-860-evo-mz-n6e1t0bw-1tb-m-2-2280-sata-iii-1035091/
88,WD Red SA500 WDS500G1R0A 500ГБ,SATA III,560,6490,0,https://www.citilink.ru/product/ssd-nakopitel-wd-red-sa500-wds500g1r0a-500gb-2-5-sata-iii-1182346/
89,TRANSCEND TS240GMTS420S 240ГБ,SATA III,560,3190,0,https://www.citilink.ru/product/ssd-nakopitel-transcend-ts240gmts420s-240gb-m-2-2242-sata-iii-1067680/
90,SANDISK SSD PLUS SDSSDA-120G-G27 120ГБ,SATA III,530,2090,0,https://www.citilink.ru/product/ssd-nakopitel-sandisk-ssd-plus-sdssda-120g-g27-120gb-2-5-sata-iii-1033252/
91,A-DATA Falcon AFALCON-256G-C 256ГБ,PCI-E x4,3000,3590,0,https://www.citilink.ru/product/nakopitel-ssd-a-data-pci-e-x4-256gb-afalcon-256g-c-falcon-m-2-2280-1390318/
92,AMD Radeon R5M480G8 480ГБ,SATA III,530,5190,0,https://www.citilink.ru/product/nakopitel-ssd-amd-sata-iii-480gb-r5m480g8-radeon-m-2-2280-1393035/
93,PATRIOT P300 P300P128GM28 128ГБ,PCI-E x4,1600,2190,0,https://www.citilink.ru/product/ssd-nakopitel-patriot-p300-p300p128gm28-128gb-m-2-2280-pci-e-x4-nvme-1383090/
94,A-DATA Ultimate SU800 ASU800NS38-256GT-C 256ГБ,SATA III,560,3490,0,https://www.citilink.ru/product/ssd-nakopitel-a-data-ultimate-su800-asu800ns38-256gt-c-256gb-m-2-2280-1195951/
95,PATRIOT P300 P300P512GM28 512ГБ,PCI-E x4,1700,5190,0,https://www.citilink.ru/product/ssd-nakopitel-patriot-p300-p300p512gm28-512gb-m-2-2280-pci-e-x4-nvme-1215621/
96,CRUCIAL P2 CT250P2SSD8 250ГБ,PCI-E x4,2100,3490,0,https://www.citilink.ru/product/nakopitel-ssd-crucial-pci-e-x4-250gb-ct250p2ssd8-p2-m-2-2280-1391018/
97,TRANSCEND TS512GMTE110S 512ГБ,PCI-E x4,1700,5590,0,https://www.citilink.ru/product/ssd-nakopitel-transcend-ts512gmte110s-512gb-m-2-2280-pci-e-x4-nvme-1160583/
98,KINGSTON A400 SA400S37/960G 960ГБ,SATA III,500,8990,0,https://www.citilink.ru/product/ssd-nakopitel-kingston-a400-sa400s37-960g-960gb-2-5-sata-iii-1210536/
99,TRANSCEND TS512GSSD230S 512ГБ,SATA III,560,6290,0,https://www.citilink.ru/product/ssd-nakopitel-transcend-ts512gssd230s-512gb-2-5-sata-iii-431116/
100,SEAGATE BarraCuda Q5 ZP500CV3A001 500ГБ,PCI-E x4,2300,5290,0,https://www.citilink.ru/product/ssd-nakopitel-seagate-barracuda-q5-zp500cv3a001-500gb-m-2-2280-pci-e-x-1468967/
101,SAMSUNG 870 QVO MZ-77Q2T0BW 2ТБ,SATA III,560,20 990,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-870-qvo-mz-77q2t0bw-2tb-2-5-sata-iii-1425477/
102,PATRIOT Viper VPN100 VPN100-256GM28H 256ГБ,PCI-E x4,3000,4390,0,https://www.citilink.ru/product/ssd-nakopitel-patriot-viper-vpn100-vpn100-256gm28h-256gb-m-2-2280-pci-1144991/
103,A-DATA Swordfish ASWORDFISH-500G-C 500ГБ,PCI-E x4,1800,7290,0,https://www.citilink.ru/product/nakopitel-ssd-a-data-pci-e-x4-500gb-aswordfish-500g-c-wordfish-m-2-228-1390297/
104,WD Black WDS500G3XHC 500ГБ,PCI-E x4,3470,8990,0,https://www.citilink.ru/product/ssd-nakopitel-wd-black-wds500g3xhc-500gb-m-2-2280-pci-e-x4-nvme-1134604/
105,SEAGATE BarraCuda Q1 ZA480CV1A001 480ГБ,SATA III,550,4790,0,https://www.citilink.ru/product/ssd-nakopitel-seagate-barracuda-q1-za480cv1a001-480gb-2-5-sata-iii-1468964/
106,KINGSTON KC600 SKC600/1024G 1ТБ,SATA III,550,11 990,0,https://www.citilink.ru/product/nakopitel-ssd-kingston-sata-iii-1tb-skc600-1024g-kc600-2-5-1387334/
107,SAMSUNG 870 EVO MZ-77E2T0BW 2ТБ,SATA III,560,29 990,0,https://www.citilink.ru/product/ssd-nakopitel-samsung-870-evo-mz-77e2t0bw-2tb-2-5-sata-iii-1475910/
108,TRANSCEND TS480GSSD220S 480ГБ,SATA III,550,5190,0,https://www.citilink.ru/product/ssd-nakopitel-transcend-ts480gssd220s-480gb-2-5-sata-iii-480302/
109,INTEL DC D3-S4610 SSDSC2KG480G801 480ГБ,SATA III,560,13 990,0,https://www.citilink.ru/product/ssd-nakopitel-intel-dc-d3-s4610-ssdsc2kg480g801-480gb-2-5-sata-iii-ssd-1078058/
